"high","low","m1","m2","nview","ncol","start_angle","dshift","R","D","mA","FOV","xmin","ymin","kV"
"exam3_high_29.raw","exam3_low_29.raw","exam3_m1_29.raw","exam3_m2_29.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_30.raw","exam3_low_30.raw","exam3_m1_30.raw","exam3_m2_30.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_31.raw","exam3_low_31.raw","exam3_m1_31.raw","exam3_m2_31.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_32.raw","exam3_low_32.raw","exam3_m1_32.raw","exam3_m2_32.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_33.raw","exam3_low_33.raw","exam3_m1_33.raw","exam3_m2_33.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_34.raw","exam3_low_34.raw","exam3_m1_34.raw","exam3_m2_34.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_35.raw","exam3_low_35.raw","exam3_m1_35.raw","exam3_m2_35.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_36.raw","exam3_low_36.raw","exam3_m1_36.raw","exam3_m2_36.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_37.raw","exam3_low_37.raw","exam3_m1_37.raw","exam3_m2_37.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_38.raw","exam3_low_38.raw","exam3_m1_38.raw","exam3_m2_38.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_39.raw","exam3_low_39.raw","exam3_m1_39.raw","exam3_m2_39.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_40.raw","exam3_low_40.raw","exam3_m1_40.raw","exam3_m2_40.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_41.raw","exam3_low_41.raw","exam3_m1_41.raw","exam3_m2_41.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_42.raw","exam3_low_42.raw","exam3_m1_42.raw","exam3_m2_42.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_43.raw","exam3_low_43.raw","exam3_m1_43.raw","exam3_m2_43.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_44.raw","exam3_low_44.raw","exam3_m1_44.raw","exam3_m2_44.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_45.raw","exam3_low_45.raw","exam3_m1_45.raw","exam3_m2_45.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_46.raw","exam3_low_46.raw","exam3_m1_46.raw","exam3_m2_46.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_47.raw","exam3_low_47.raw","exam3_m1_47.raw","exam3_m2_47.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_48.raw","exam3_low_48.raw","exam3_m1_48.raw","exam3_m2_48.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_49.raw","exam3_low_49.raw","exam3_m1_49.raw","exam3_m2_49.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_50.raw","exam3_low_50.raw","exam3_m1_50.raw","exam3_m2_50.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_51.raw","exam3_low_51.raw","exam3_m1_51.raw","exam3_m2_51.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_52.raw","exam3_low_52.raw","exam3_m1_52.raw","exam3_m2_52.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_53.raw","exam3_low_53.raw","exam3_m1_53.raw","exam3_m2_53.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_54.raw","exam3_low_54.raw","exam3_m1_54.raw","exam3_m2_54.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_55.raw","exam3_low_55.raw","exam3_m1_55.raw","exam3_m2_55.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_56.raw","exam3_low_56.raw","exam3_m1_56.raw","exam3_m2_56.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_57.raw","exam3_low_57.raw","exam3_m1_57.raw","exam3_m2_57.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_58.raw","exam3_low_58.raw","exam3_m1_58.raw","exam3_m2_58.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_59.raw","exam3_low_59.raw","exam3_m1_59.raw","exam3_m2_59.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_60.raw","exam3_low_60.raw","exam3_m1_60.raw","exam3_m2_60.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_61.raw","exam3_low_61.raw","exam3_m1_61.raw","exam3_m2_61.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_62.raw","exam3_low_62.raw","exam3_m1_62.raw","exam3_m2_62.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_63.raw","exam3_low_63.raw","exam3_m1_63.raw","exam3_m2_63.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_64.raw","exam3_low_64.raw","exam3_m1_64.raw","exam3_m2_64.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_65.raw","exam3_low_65.raw","exam3_m1_65.raw","exam3_m2_65.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_66.raw","exam3_low_66.raw","exam3_m1_66.raw","exam3_m2_66.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_67.raw","exam3_low_67.raw","exam3_m1_67.raw","exam3_m2_67.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_68.raw","exam3_low_68.raw","exam3_m1_68.raw","exam3_m2_68.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_69.raw","exam3_low_69.raw","exam3_m1_69.raw","exam3_m2_69.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_70.raw","exam3_low_70.raw","exam3_m1_70.raw","exam3_m2_70.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_71.raw","exam3_low_71.raw","exam3_m1_71.raw","exam3_m2_71.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_72.raw","exam3_low_72.raw","exam3_m1_72.raw","exam3_m2_72.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_73.raw","exam3_low_73.raw","exam3_m1_73.raw","exam3_m2_73.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_74.raw","exam3_low_74.raw","exam3_m1_74.raw","exam3_m2_74.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_75.raw","exam3_low_75.raw","exam3_m1_75.raw","exam3_m2_75.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_76.raw","exam3_low_76.raw","exam3_m1_76.raw","exam3_m2_76.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_77.raw","exam3_low_77.raw","exam3_m1_77.raw","exam3_m2_77.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_78.raw","exam3_low_78.raw","exam3_m1_78.raw","exam3_m2_78.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_79.raw","exam3_low_79.raw","exam3_m1_79.raw","exam3_m2_79.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_80.raw","exam3_low_80.raw","exam3_m1_80.raw","exam3_m2_80.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_81.raw","exam3_low_81.raw","exam3_m1_81.raw","exam3_m2_81.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_82.raw","exam3_low_82.raw","exam3_m1_82.raw","exam3_m2_82.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_83.raw","exam3_low_83.raw","exam3_m1_83.raw","exam3_m2_83.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_84.raw","exam3_low_84.raw","exam3_m1_84.raw","exam3_m2_84.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_85.raw","exam3_low_85.raw","exam3_m1_85.raw","exam3_m2_85.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_86.raw","exam3_low_86.raw","exam3_m1_86.raw","exam3_m2_86.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_87.raw","exam3_low_87.raw","exam3_m1_87.raw","exam3_m2_87.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_88.raw","exam3_low_88.raw","exam3_m1_88.raw","exam3_m2_88.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_89.raw","exam3_low_89.raw","exam3_m1_89.raw","exam3_m2_89.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_90.raw","exam3_low_90.raw","exam3_m1_90.raw","exam3_m2_90.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_91.raw","exam3_low_91.raw","exam3_m1_91.raw","exam3_m2_91.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_92.raw","exam3_low_92.raw","exam3_m1_92.raw","exam3_m2_92.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_93.raw","exam3_low_93.raw","exam3_m1_93.raw","exam3_m2_93.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam4_high_1.raw","exam4_low_1.raw","exam4_m1_1.raw","exam4_m2_1.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_2.raw","exam4_low_2.raw","exam4_m1_2.raw","exam4_m2_2.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_3.raw","exam4_low_3.raw","exam4_m1_3.raw","exam4_m2_3.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_4.raw","exam4_low_4.raw","exam4_m1_4.raw","exam4_m2_4.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_5.raw","exam4_low_5.raw","exam4_m1_5.raw","exam4_m2_5.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_6.raw","exam4_low_6.raw","exam4_m1_6.raw","exam4_m2_6.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_7.raw","exam4_low_7.raw","exam4_m1_7.raw","exam4_m2_7.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_8.raw","exam4_low_8.raw","exam4_m1_8.raw","exam4_m2_8.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_9.raw","exam4_low_9.raw","exam4_m1_9.raw","exam4_m2_9.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_10.raw","exam4_low_10.raw","exam4_m1_10.raw","exam4_m2_10.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_11.raw","exam4_low_11.raw","exam4_m1_11.raw","exam4_m2_11.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_12.raw","exam4_low_12.raw","exam4_m1_12.raw","exam4_m2_12.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_13.raw","exam4_low_13.raw","exam4_m1_13.raw","exam4_m2_13.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_14.raw","exam4_low_14.raw","exam4_m1_14.raw","exam4_m2_14.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_15.raw","exam4_low_15.raw","exam4_m1_15.raw","exam4_m2_15.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_16.raw","exam4_low_16.raw","exam4_m1_16.raw","exam4_m2_16.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_17.raw","exam4_low_17.raw","exam4_m1_17.raw","exam4_m2_17.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_18.raw","exam4_low_18.raw","exam4_m1_18.raw","exam4_m2_18.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_19.raw","exam4_low_19.raw","exam4_m1_19.raw","exam4_m2_19.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_20.raw","exam4_low_20.raw","exam4_m1_20.raw","exam4_m2_20.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_21.raw","exam4_low_21.raw","exam4_m1_21.raw","exam4_m2_21.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_22.raw","exam4_low_22.raw","exam4_m1_22.raw","exam4_m2_22.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_23.raw","exam4_low_23.raw","exam4_m1_23.raw","exam4_m2_23.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_24.raw","exam4_low_24.raw","exam4_m1_24.raw","exam4_m2_24.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_25.raw","exam4_low_25.raw","exam4_m1_25.raw","exam4_m2_25.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_26.raw","exam4_low_26.raw","exam4_m1_26.raw","exam4_m2_26.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_27.raw","exam4_low_27.raw","exam4_m1_27.raw","exam4_m2_27.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_28.raw","exam4_low_28.raw","exam4_m1_28.raw","exam4_m2_28.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_29.raw","exam4_low_29.raw","exam4_m1_29.raw","exam4_m2_29.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_30.raw","exam4_low_30.raw","exam4_m1_30.raw","exam4_m2_30.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_31.raw","exam4_low_31.raw","exam4_m1_31.raw","exam4_m2_31.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_32.raw","exam4_low_32.raw","exam4_m1_32.raw","exam4_m2_32.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_33.raw","exam4_low_33.raw","exam4_m1_33.raw","exam4_m2_33.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_34.raw","exam4_low_34.raw","exam4_m1_34.raw","exam4_m2_34.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_35.raw","exam4_low_35.raw","exam4_m1_35.raw","exam4_m2_35.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_36.raw","exam4_low_36.raw","exam4_m1_36.raw","exam4_m2_36.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_37.raw","exam4_low_37.raw","exam4_m1_37.raw","exam4_m2_37.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_38.raw","exam4_low_38.raw","exam4_m1_38.raw","exam4_m2_38.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_39.raw","exam4_low_39.raw","exam4_m1_39.raw","exam4_m2_39.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_40.raw","exam4_low_40.raw","exam4_m1_40.raw","exam4_m2_40.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_41.raw","exam4_low_41.raw","exam4_m1_41.raw","exam4_m2_41.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_42.raw","exam4_low_42.raw","exam4_m1_42.raw","exam4_m2_42.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_43.raw","exam4_low_43.raw","exam4_m1_43.raw","exam4_m2_43.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_44.raw","exam4_low_44.raw","exam4_m1_44.raw","exam4_m2_44.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_45.raw","exam4_low_45.raw","exam4_m1_45.raw","exam4_m2_45.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_46.raw","exam4_low_46.raw","exam4_m1_46.raw","exam4_m2_46.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_47.raw","exam4_low_47.raw","exam4_m1_47.raw","exam4_m2_47.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_48.raw","exam4_low_48.raw","exam4_m1_48.raw","exam4_m2_48.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_49.raw","exam4_low_49.raw","exam4_m1_49.raw","exam4_m2_49.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_50.raw","exam4_low_50.raw","exam4_m1_50.raw","exam4_m2_50.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_51.raw","exam4_low_51.raw","exam4_m1_51.raw","exam4_m2_51.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_52.raw","exam4_low_52.raw","exam4_m1_52.raw","exam4_m2_52.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_53.raw","exam4_low_53.raw","exam4_m1_53.raw","exam4_m2_53.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_54.raw","exam4_low_54.raw","exam4_m1_54.raw","exam4_m2_54.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_55.raw","exam4_low_55.raw","exam4_m1_55.raw","exam4_m2_55.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_56.raw","exam4_low_56.raw","exam4_m1_56.raw","exam4_m2_56.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_57.raw","exam4_low_57.raw","exam4_m1_57.raw","exam4_m2_57.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_58.raw","exam4_low_58.raw","exam4_m1_58.raw","exam4_m2_58.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_59.raw","exam4_low_59.raw","exam4_m1_59.raw","exam4_m2_59.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_60.raw","exam4_low_60.raw","exam4_m1_60.raw","exam4_m2_60.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_61.raw","exam4_low_61.raw","exam4_m1_61.raw","exam4_m2_61.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_62.raw","exam4_low_62.raw","exam4_m1_62.raw","exam4_m2_62.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_63.raw","exam4_low_63.raw","exam4_m1_63.raw","exam4_m2_63.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_64.raw","exam4_low_64.raw","exam4_m1_64.raw","exam4_m2_64.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_65.raw","exam4_low_65.raw","exam4_m1_65.raw","exam4_m2_65.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
"exam4_high_66.raw","exam4_low_66.raw","exam4_m1_66.raw","exam4_m2_66.raw",1968,888,-34.80501569,1.125,538.52,946.746,765,180,-162.7,-180,140
